,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10
SDF4,4.69633111210463,4.55576988357635,6.06362003640166,6.11192906473979,6.363362300038,5.64526944043688,7.18517065465819,6.98324947800864,6.56435235375344,6.78662102557905
B3GALT6,2.62249319963548,2.73262839007694,2.70118774594617,2.44997678670864,2.81031698042277,2.62977576925723,3.09268685033808,3.17519321833251,2.45305599411172,2.22951033038564
C1QTNF12,4.06263112622815,3.53257450030499,3.69879790663993,2.96333878388137,3.46531250938779,1.74656679173948,3.45229290337284,3.63269919554436,3.90651231498084,2.48935533699241
UBE2J2,4.77321939069056,4.81016072605103,4.20576639610546,4.63991104664872,4.21513074646766,4.08450862078801,4.80980953778004,4.85977529435277,4.59224075146952,4.71692946717276
SCNN1D,0.419000264856868,0.849649521802578,0.651430145376452,0.669040274727556,0.652191408744466,0.552506252107174,0.688350788392537,0.621739481129493,0.778935573475144,0.893068228669338
ACAP3,1.86724832864583,1.69946269471166,2.0875928867232,2.04411264365361,2.06023989467064,1.56309765238613,2.69256053976122,2.78230247403477,2.28585701624057,2.19093323433861
PUSL1,4.10786170297256,4.13206139078691,3.9152858163842,3.82471575426149,4.34586314721407,4.29758987421207,4.81991787878725,4.8782256318251,4.23476722649096,3.76837173109541
INTS11,4.14061497346846,3.89365568937971,4.37974642705327,3.78627201032726,4.30452469763029,3.95570374426871,4.66085371365331,4.662590088546,4.24876021401451,4.59565796417886
CPTP,3.46309299185967,3.68319540434474,3.95021748016135,3.65262358537214,3.03617630486904,3.35540334512604,4.23006498458094,4.32746622442638,4.25124237721525,4.19245673867403
TAS1R3,0.429715565220727,0.712545798009824,1.21543628984733,0.39026673453511,1.4674745862618,0.801712547243784,1.28457502090088,1.63976923306739,1.16591198858587,1.25694631398209
DVL1,3.44111959387596,3.25941742460948,3.86890460321602,3.51794936957844,3.45622294556322,3.06143463707488,4.13946452613776,4.40638832856424,3.45511663653635,2.8521717317213
MXRA8,6.46704866151856,6.43664347669173,6.19876840258561,6.37119304717328,7.33710650751151,7.14063499946742,7.28710142288326,7.46449488134771,6.40814805082425,7.61382034745687
AURKAIP1,8.72756217391136,8.51499232377734,8.75207027895125,8.49190110748367,8.23289248526013,8.09592182326714,9.02025132323395,9.07929515370719,8.78345590237096,8.60810055839459
CCNL2,5.05904428876314,5.14446758041886,5.01427836859502,4.91737996409478,5.22593774346283,5.10882815818531,5.01317842519657,5.08224666254905,5.06941088636976,5.35880213410484
MRPL20,7.68816039103512,7.59053112565837,7.85815711066602,7.56520436808114,7.33132750647974,7.43946057190705,7.81765708325654,7.76053405743362,7.55053192445325,7.58878590895412
ANKRD65,2.66862319506066,3.2141022333894,2.46411297052239,2.39121262769377,3.04451698759495,3.01856243588451,3.23313604374786,2.84171059031168,3.51483738685399,3.26479722050309
VWA1,4.09575605931556,4.02300352610174,3.24919628022629,2.95530223135514,3.9073115952921,3.37338984829281,4.37477149132025,3.39389999219443,4.78526868455213,4.66586959222682
ATAD3C,1.77523451677273,1.91158541730891,3.27134891679499,2.18653253394211,1.45080841126581,1.78551045975416,2.114834054072,2.17150174734909,1.16398797858968,1.02850821739961
ATAD3B,2.64956984810061,2.5500453106743,2.3873883471313,2.33480035159244,2.36189923332342,2.25471135095692,3.07194158483269,3.19100319005173,2.32671238232313,2.19876293752849
ATAD3A,3.26429291006836,2.6713042552897,2.98631478334604,2.76775761741135,2.99894512452352,2.56426231990799,4.04225783984072,4.33221354118314,3.15022397683448,3.0027701417795
TMEM240,0.536169438976051,0.434576382928662,0.543372170761921,0.895068825588067,0.653105212268128,0.553305709346538,0.990457214003155,0.883384306614262,1.01752653427567,1.24718844422595
SSU72,5.16749384194295,5.06234193821601,5.28029703753387,5.12070758440508,4.96609129637747,4.92205723424702,5.13409735360959,5.18748976238876,5.10950639461492,5.13361432563831
MIB2,2.14437395397041,2.20063682573668,2.53428448958971,2.63167270060117,2.34703923271145,2.15219539651388,3.14739509625124,3.16785009537759,3.00134057087054,2.87340782504964
MMP23B,2.44435507235228,3.71418405260304,2.57506096031092,3.45770355980479,2.0461194135366,3.53531953663334,5.1310008213401,4.43352935028128,2.89536951702139,4.25921284036282
CDK11B,4.9099280816476,4.79232550219993,4.93762443593483,4.80904762834472,5.10885072119031,4.94489642472482,4.64246014816915,4.78138013441245,5.41592593818379,5.54440349271451
SLC35E2B,3.37660207461144,3.39257630375977,2.99481681477691,2.94433138890753,3.5250700900487,2.97067275578567,2.86977429861913,2.93571484277745,3.30768742502138,3.55620193841049
CDK11A,4.238198792636,4.24449601241806,4.36246690193918,4.37006899168547,4.8224946392898,4.70177522777335,4.07240733373065,3.94714108391229,4.59402360463278,4.82138662670191
NADK,4.1162947007419,3.93626793576241,4.11808811713404,4.03623964301893,3.77250276467811,3.70651032101897,4.00534353281914,4.27787509922589,4.23058031500615,3.90668440791952
GNB1,5.72854811876133,5.49249542529402,5.48135447489445,5.41108742351474,5.64716136921264,5.33444305580605,5.66233440407952,5.6768877605272,5.3357609578326,5.49112837331831
CALML6,0,0.0696378115182875,0.1828542451538,0,0,0,0.0935899067019821,0.24471429668336,0.138667384079826,0
TMEM52,2.5831359858307,1.68115615309724,2.75337244019154,2.4822548223253,3.33716265747794,1.30295464030866,3.48692512942766,3.72858365442948,2.64936426053823,2.15377750643765
CFAP74,0.317118494639179,0.278530815842449,0.190381806448125,0.155661869307681,0.527541342902858,0.252751648823912,0.282690476834897,0.160401700812869,0.259998518857016,0.482566149154568
GABRD,2.60260370120276,2.37843301317519,1.52572337968728,1.39046452828462,2.92461171020294,2.26397318199162,2.05061164474905,1.13387107191676,2.03274329138005,3.10733803205287
PRKCZ,2.37612437925275,1.90306634891022,2.50004298538601,2.06501013339927,1.97811531374872,1.1508176800678,2.71984930409702,3.05134138822217,2.20499197227957,2.22537420649042
FAAP20,4.15626707443575,4.25377312371652,3.7816409571869,4.03882096513199,4.07991738739464,3.84574612311959,5.17749891560892,5.15479040687303,4.45718224482107,4.4543061055993
SKI,4.48980928713525,4.42421948998452,4.06038098071088,4.22622433849421,4.46423103655225,4.77130522217991,4.3999996909897,4.28721188586379,3.96158537559751,4.38608171040362
MORN1,0.735262752401194,0.583352406585487,0.648328840974506,0.816988462337764,0.83014141874563,0.742464080360687,1.15321886695794,1.15214503467813,0.904108940663831,0.840922342283219
RER1,6.51398718708107,6.3894298791961,6.5493907159179,6.38797896575532,6.18005635059344,6.19536675084173,6.50900570505937,6.54184004315774,6.59580760145492,6.46869431650698
PEX10,3.95099984690872,3.74457357731585,3.82706790174279,3.91645333824471,3.91568785239805,3.31760444576394,4.12357041971261,4.22487905035793,3.69127356534923,4.04503069290328
PLCH2,0.639450783842274,0.684073336051496,0.880954170464795,0.806530436703799,0.832188948698046,0.655888401377704,0.470718669289407,0.59894291247147,0.651886367814248,0.820492899637529
PANK4,3.08545305653414,2.93796761501329,2.75337244019154,3.01563002780052,3.67726004379069,3.2609990587129,2.87211325727727,2.98113964288616,3.10913353558159,3.48579026916335
HES5,0.423844342171451,0,0,0.217925872630404,0,0.122554557561841,1.73270180498937,0.891014757380047,1.26244370531304,0
TNFRSF14,5.99972002806627,6.12725114218535,5.80564944768669,5.95802400868961,5.90806728068362,5.85875404917662,5.9826439294244,5.97918052333183,6.41880950826905,6.12604014643139
MMEL1,1.73840234105131,1.22001143429542,3.27650478417288,2.19229008704696,2.36768317453789,0.886988021298628,2.23017977542346,2.48652299329808,2.4367041865086,1.94584820706985
TTC34,0.231860077908353,0.142396802822655,0.305926697037876,0.151856687977574,0.259579397442104,0.0638685912581763,0.22274515322695,0.165017242158719,0.110178237287694,0.235572035209363
PRDM16,0.187614059837208,0.62022430766152,0.358661848533677,0.539170019193978,0.517850423238241,0.32468774280768,0.547899489415559,0.419909328313671,0.831607345412404,1.27075969871955
ARHGEF16,2.51790861822152,1.80004859460011,3.34546758394298,2.5068058743929,2.50616737584253,1.07205902137603,2.95733973339547,3.19866968033272,2.95698834369002,1.79176115061657
MEGF6,1.59528977347081,1.74351143986159,1.40605186482026,1.72659202342788,2.03657349642687,3.02572590919825,2.12337397510852,1.81502965368242,1.57767061082222,2.55952182450712
TPRG1L,4.52167913670399,4.23706824931352,4.59644107956065,4.20859101305016,4.21458856688147,4.03997269915582,4.35178607703184,4.5808290408087,4.18140278807188,4.09532477896639
WRAP73,3.80841649515784,3.54406871622805,3.60524210566816,3.51722162754811,3.81336903969037,3.54111661563432,3.72894223183383,3.69125090226832,3.8370527015318,3.87261341443457
TP73,0.152325833650552,0.409236357249304,0.0947673556053465,0.131867153871067,0,0.353381458886787,0.165079537897761,0.370243916099628,0.165629894242792,0.493495201178648
SMIM1,4.15762656624647,4.47466281939888,4.32639949049326,4.0388200910306,5.2794623662635,4.04317753876803,4.38990116914618,4.30038874174887,4.74994890035455,4.88209115615617
LRRC47,3.4890432945581,3.29504229301593,3.46019760928181,3.1807546898273,3.16883006553774,3.1728790302993,3.89016758410448,3.75748754992902,3.08503317539641,3.39059274542511
CEP104,2.36008910735914,2.07915199314795,2.12791452715765,1.93533444124044,2.43821335089894,2.16242543888459,2.44983761031719,2.41444381876757,2.38072942514579,2.72929784173491
DFFB,2.56241941124537,2.3335936406326,2.54099278584036,2.23565625709971,2.49990644375712,2.30545420273239,2.70687403607703,2.7805276616269,2.33392941647089,1.87748986650643
C1orf174,4.55841328356432,4.31500257433116,4.26419835184512,4.23910289917096,4.46228659487057,4.44270820290846,4.39369937389369,4.48618762271945,4.36450540139885,4.47219261879355
NPHP4,1.33477754896102,1.25044354514877,1.1468302910006,1.18835132196257,1.48821281021783,1.47666560215796,1.29193032621444,1.51684107311105,1.19997579901376,1.27194294806028
KCNAB2,3.08600914007284,3.14286360136248,2.99459606905734,3.28600153142332,3.12221058945304,3.33345424951837,2.85930301657496,2.93786213886873,2.92651911408789,3.05525460622603
CHD5,0.021381748693296,0.0143474388503656,0.0260297416869966,0,0,0.0166808389200895,0.165952382562691,0.200930510815361,0,0
RNF207,2.07018049624623,2.15116123333782,1.7097503291875,1.57555856398528,1.98732638066839,1.41853655623341,2.55383339036611,2.53685546844149,2.22726093385766,2.53918789446991
ICMT,3.53479613672846,3.43854422739549,3.4237631069235,3.18085785961292,3.55781279079443,3.11676072199378,3.85296923722845,3.89553815910625,3.26826091260651,3.52850288646946
GPR153,2.50263266239499,2.39988695139827,2.54529900860416,2.13560115743475,2.00504011568079,1.97675648488226,3.33904229309227,3.45860493377956,1.82755503705098,0.865364164036308
ACOT7,5.11039161334488,4.56412057557585,4.91617559986267,4.73995431713311,4.29448246450623,3.97178606203752,5.46995913296879,5.56880449106502,5.08197700645304,4.60064312726181
HES2,1.86711413493491,1.00542795262131,1.96568332898456,1.79724079824844,2.04267768070436,0.934952390250552,2.35306319476995,2.56061161575274,2.48689996806784,2.5482266936662
ESPN,1.56291750425293,0.800222966333028,2.53429431787597,1.39681016387101,2.36276643804871,1.11576811918259,2.2813699599208,2.44778358778956,2.11151411080159,1.5793844416188
TNFRSF25,3.6549076272262,3.97667369535167,3.5285873898048,3.87266457960681,3.69622885522633,3.56000583927531,4.37884023004549,4.13639601800457,4.43072811330586,4.04770996127847
PLEKHG5,1.91073852480078,1.7718125803664,1.57891669629717,1.94428290938267,1.86939313949896,1.80249548388408,2.02350815137385,1.85205390608419,1.81662330571125,2.37258976301524
NOL9,2.39211578398053,2.32875749332168,2.38429755975108,2.43147374723791,2.33924956937699,2.34612528773963,2.64735076824919,2.82134427455585,2.45959225315035,3.07070253161525
ZBTB48,3.56405655061074,3.72394198948323,3.82805653576784,3.80946858082793,3.31129435409504,3.46896026123284,3.8972264018877,3.76386696361645,4.14585519055485,3.99936643339321
KLHL21,2.53364234404087,2.30674469429373,2.44617230515153,2.34894052418444,3.14041893200006,2.88528631928331,2.78305082995854,2.9606224131431,2.09449279688281,2.27127356124935
PHF13,3.26771718713037,3.1609361093565,3.1278892442712,3.11569309004629,3.88006166083663,3.57190794383897,3.43632402007306,3.45859681945582,3.12210616666219,3.98348738164039
THAP3,3.80428517965736,3.63638049244215,3.80643788249642,3.64912409295009,4.19744342248783,3.58459070954176,4.18818581743602,4.23289890873635,4.20623424662321,4.38194215459353
DNAJC11,2.58751157438624,2.56337628368289,2.82211229521984,2.59290048239578,2.57081006980039,2.47703231306561,2.94178298553643,3.00626852910052,2.75364563429201,2.78461114088193
CAMTA1,4.82015949820165,4.77552543481708,4.79860421201957,4.55617197315983,5.11921373221702,4.73929337420638,4.92877009508642,4.98868822361144,4.88105238395751,4.99154271957692
VAMP3,6.81101854153117,6.62350403446693,6.4629242885543,6.40352533006113,6.86369134547214,6.72990228504888,6.32631057289009,6.41110937509583,6.4738191364089,6.94772240556648
PER3,1.78560188559751,2.01468837169495,2.18578874243079,2.34779882426903,2.45453828538946,2.40702711141786,2.67610469094756,2.64219358713166,2.20818544331482,2.99294039244806
UTS2,4.71243638274613,4.80193623713793,5.48760854611288,5.66301327234037,5.34200744698744,5.35531368334005,4.99644847186948,5.19366528934275,3.28150900577678,1.72636124653132
TNFRSF9,2.539797805011,2.3937242719391,2.01839171883028,2.59589272417673,2.98903070815805,2.5230463092763,1.96926213602627,2.75637424658324,3.43488261966633,3.47234464687748
PARK7,9.13889092160649,8.97206572998383,8.89038628383775,8.70911112651765,9.01631070321876,8.95323795650955,9.34796493734676,9.26066468712568,9.01888834503844,8.96949567976342
ERRFI1,6.80605119273727,6.08316350119366,5.59118913411272,6.26956597197596,7.60020233270813,6.70711791957982,5.06557675166272,5.03405173289074,4.41214023964359,5.95243941039442
SLC45A1,2.81323095063218,2.76982663531115,2.37023122702153,2.5604908095762,3.11575626092763,3.21837565612456,2.67584179174779,2.55063578276039,2.4831499560036,3.07563263144764
RERE,3.66004441725994,3.64249290772209,3.59168998582306,3.58215158262788,4.11510978942988,3.76487782322693,3.47755694356189,3.4958937942182,3.46957646175233,4.15536951996562
ENO1,8.4181554832585,7.88993955126222,8.20249465273379,7.91932703005014,8.56400851782108,8.1886715864925,8.53518813984907,8.728050924309,8.20050743723751,8.09749352217689
SLC2A5,2.54608938325073,2.33523524144349,2.11277025121118,2.28505079814904,2.46190300390834,2.25936814869073,0.800888330179361,0.774652811809259,1.62256152850057,1.80608569528387
GPR157,2.64542775098068,2.049064460696,2.0839258250167,1.96728161401377,3.69237920025619,2.12566101422875,2.33913334951957,2.55779602139704,1.80049239792473,1.89988422572995
MIR34AHG,1.15656498812319,0.751691887798231,0.75370300273948,0.59303665006036,2.06049185915032,1.10180143458064,1.55954212116791,1.80809500147321,1.09413935880018,1.49725203262704
H6PD,3.03466912503769,3.01587886596708,3.03311083689237,3.02790613433507,3.12639580679314,3.09046399791271,2.88077079036043,2.78790425102083,2.66010617113362,3.12063848806878
SPSB1,4.34345545735533,3.89452585925771,3.68960061341612,3.31012440594472,4.00423697684466,3.96824921937537,3.92991709348182,3.8682277367328,2.90650909819498,3.81045012043524
SLC25A33,2.51559878761434,2.25056689804294,2.29247009563706,2.07445218856112,2.55112617981338,2.37609754195174,2.35648247117938,2.54343322885549,1.71797685318877,1.73151788988433
TMEM201,1.56784592707624,1.38876548914994,1.43186268385687,1.26730572154887,1.14293946492071,1.3003713909853,1.94473050670667,2.13856290959892,1.30689204690824,1.57373562559744
PIK3CD,2.47729645846561,2.70844142767083,2.28410837914973,2.79856977823932,2.43522205263738,2.99668180082917,2.53296151068137,2.61918500762681,3.35761071375972,3.34474091906643
CLSTN1,4.81487793215429,4.7806645576021,4.96708721194384,4.69723340022419,4.97758097779358,4.63538708267687,4.98723407107913,5.08936429944632,5.14086872889623,5.07814423932017
CTNNBIP1,3.27297961981437,3.18064663479008,3.41030358428055,3.20849342024538,2.95883640691159,2.49585727452071,3.40908454075607,3.4917774708725,2.6413782512362,3.27486237336583
LZIC,4.63858759930426,4.4071866156657,4.30262391942864,4.32923988673366,4.36427716123981,4.23137815948222,4.44130913538637,4.40992454453884,4.2834479756535,4.45820761272668
NMNAT1,2.27054929303069,2.16334750417854,2.71392350356589,2.39551221288592,2.24570366588339,2.09062777017389,2.64716524857255,2.67322369930205,2.84911493702775,2.64119487765864
RBP7,6.43750768337057,8.79624761823205,5.69914575112389,7.06464719903173,5.72905075074641,7.45376509823523,6.28259273707517,5.70557810756879,6.50799245520214,8.70193192272633
UBE4B,3.42503856128551,3.31554609576676,3.10933783761715,2.99579060691485,3.42687893335641,3.23074172781092,3.11928487684916,3.22480188765504,3.08516422911374,3.51824313171074
KIF1B,2.3958486249436,2.18485941851551,2.04390840626367,2.13230977042959,2.68991943585053,2.64249136649754,1.90007601631698,1.90356022343715,1.86554010147638,2.46552567987979
PGD,7.03396511211865,6.55435020421472,6.56958021127702,6.64722527321715,6.63954252494103,6.22671524279227,7.07700189353218,7.25427437763086,6.04622811370697,5.8664952745354
CENPS,2.62603185064278,1.59454784936307,1.96020404468304,1.79500136279293,2.10104254611508,1.26918579616773,2.34122573712639,2.20589805230536,1.89065672851719,2.41737922701035
CORT,2.40252447779139,2.65491478855466,2.38470249577167,2.71167745704702,0.505376350698794,2.73357397778862,1.36215585169512,0.695005293756997,3.25651172776071,2.65175949443223
DFFA,4.24752571712072,3.97222154923595,4.17912782398474,3.92831526531923,4.2696522135879,4.06931000700182,4.66933140581904,4.64179496224033,3.88079230332031,4.125604786636
PEX14,3.79189773718509,3.63099661132767,3.96963520346713,3.90949251566588,4.14881527413522,4.21536890239684,4.2156974251538,4.19117441884209,4.19123968075329,4.23916562787664
CASZ1,1.41245537638336,1.47040483452747,2.08208577949719,1.70345883366236,1.86322145910232,1.32875851087513,1.78087540996837,2.09371111054533,1.73288007121787,2.0370983454771
C1orf127,0.273372505780254,0.476148542615772,0.543898549065078,0.56380799796261,0.145548248000525,0.0461405983017546,0.360529611100921,0.393102836777764,0.541850195002494,0.653587861488939
TARDBP,4.02877495058991,3.83521556290098,3.9102270905395,3.81255112605746,3.84657615826845,3.70365262119875,3.95286646531451,4.07185407008674,3.91052756552854,3.68046695431467
SRM,4.95787673871336,4.94619624920166,5.10544994341708,4.75734769913055,4.98039574710778,5.05166569645171,5.49989364574227,5.63753657061508,4.52725447658663,4.66721384285688
EXOSC10,4.34842466655912,4.15699050177261,4.19140194855911,4.1605069186454,4.5084040321109,4.58633302110929,4.18556192139395,4.28236313153045,4.50315629247861,4.51615889023733
UBIAD1,4.01965489302035,3.97147197128877,3.99033936347096,3.73338897795417,3.64675170735239,3.96332755915568,3.41732030650296,3.49803424131829,3.68792397266782,4.02838261383183
DISP3,0,0.0467966658172264,0.144175750059516,0.0252247606979836,0.0876663142390984,0.027410107459287,0.0318760091178646,0.043777996083956,0,0
FBXO2,1.16277563275678,1.51092205213129,1.3772770062223,1.47230072703802,4.44151852914516,2.65697501902405,1.96205424953711,1.6119473025702,1.92521589390647,1.56719354417863
FBXO44,3.91661188431893,4.34393034175603,3.90342976620926,4.28661358920585,4.56141792911964,4.52978958357658,4.39650137996191,4.25926102044137,4.58091296626653,4.87608361808662
FBXO6,5.07676659224515,5.13471807496365,4.96289796570383,5.03530337831281,5.03661405917254,4.64882847684057,5.18206338417272,5.47831281308135,5.69736507384175,5.50908388072007
MAD2L2,4.87584134246852,4.85765979810638,4.56093953755518,4.59783077547294,4.9312064543842,4.85642938416767,5.23668384640323,5.08080870850187,4.86386602057676,4.83636966574223
DRAXIN,0.243878845270658,0.269592647779448,0.277501684689758,0.286702686297078,0.33376350491466,0.271665073398578,0.385495351443445,0.284055671210809,0.257748428964907,0.247767194348225
AGTRAP,7.04609171671693,6.59614581931266,6.41577929008398,6.49495806361018,6.64220206128351,6.51928732746126,7.05841412381129,7.20578330900093,6.94210649506685,6.91721087085184
C1orf167,1.0254024496282,1.22719170046345,0.951048601548191,1.10081532497729,0.544142536136242,0.674587022074987,1.87383782199585,1.11688982313667,1.764600233298,1.61409185917198
CLCN6,2.61070454159225,2.29658400863859,2.32586022263911,2.44301286309877,2.86518564570717,2.65202759167217,2.42165805025131,2.552838709388,2.14558866834212,2.53905126832199
KIAA2013,4.47392839101988,4.28843985105988,4.74831362990781,4.35361131904459,4.25650318551796,3.76487513256721,4.99922934948933,5.25157280193405,4.47262495394662,3.97459863097351
PLOD1,5.69947399383921,5.40071115576069,5.0301908677351,4.86306913071055,5.92815503747337,5.70878382956061,5.81655226951856,5.80067422865867,5.44860266976915,5.60283809118691
MFN2,2.95049720325661,2.78965971096612,2.9000586451523,2.91247192119894,3.03444226184058,3.28397516469881,3.06487689585569,3.14548062071453,2.90992807921694,3.21610384901492
MIIP,5.77046148346186,5.66417358544034,5.49931245055694,5.57193923789821,5.48866451318411,5.50064194838158,5.86332059537371,6.01491257998922,5.65720222646213,5.75690592843589
TNFRSF1B,6.19702331589374,6.2121787711854,5.440178268688,6.47020525031162,6.74628822188096,6.9615336136206,6.41484766934972,6.39742150037639,6.13084444193454,6.69033037389357
VPS13D,2.42263168674,2.47039104040452,2.30643578213554,2.46654874555265,2.60336594367011,2.86499951947255,2.2734720539677,2.22979225251467,2.4408919155181,2.92186019404648
DHRS3,5.00580530857928,5.21358178595176,5.20421323030926,5.15918886314141,5.53873907828176,5.47079741116838,5.11463242418163,4.93091088110953,4.83387878563098,5.21406997319
PRDM2,3.27159624770296,3.33208549221111,3.21388451001614,3.28800133114481,3.526183202671,3.74197270837259,3.06666875028091,3.08050125541466,2.99028940885811,3.37020561747341
KAZN,1.30968243530904,1.27463180621699,1.47683264765722,1.49695484450871,1.09369983785365,1.04764587807472,1.63052220043438,1.40387707695787,1.70358385177985,1.5068788939617
TMEM51-AS1,0.309372933539017,0.275781841446124,0.591216180281958,0.518794274124343,0.502132259559619,0.197946607121763,0.437230280327238,0.454267253871692,0.185887805094392,0.2992598191338
TMEM51,4.41987649437023,3.73403604024517,4.7277405480075,4.84952682820132,4.72003533897721,4.15680115903237,4.54595781514137,4.92017227288504,4.23577560476883,4.41603030718408
FHAD1,0.758263625210238,0.518527291609721,1.01142030684894,1.02224120776817,1.04751753636672,0.814978333321767,0.979482748718805,1.36010548780253,0.639000634338212,0.912418605903244
EFHD2,5.53545583412077,5.47363352077418,5.78213687224463,5.65089268849261,5.14352225451456,4.74929508567081,5.93581451599177,6.21661758155735,5.78590673917768,5.53830312166597
CASP9,3.0619861979191,2.84102109934011,2.72582657767409,2.93701833677142,3.20521091156285,3.19440810730899,3.11784132649075,3.03122730657429,2.56599992793063,3.12534222161956
DNAJC16,2.64269894480116,2.3504809071653,2.41843752691785,2.34964201902621,2.25132118076552,2.25395036998071,2.13257356221408,2.26916173225484,2.30501530421935,2.48359709953374
AGMAT,2.67925704171424,1.99957736560244,2.50109050374836,1.97442328119738,2.79625981777917,1.97101946366916,3.79235863552479,3.79229902000917,2.23997318324085,2.85642224504562
DDI2,2.88961720014697,2.68208793962113,2.58193981095486,2.44853010940477,3.09166162231819,2.90628704835935,2.56635920097446,2.4280795368841,2.42684442045181,2.66126280966275
PLEKHM2,4.21225269581672,4.12700857508926,3.88564987618747,4.10562665953367,4.38823500987577,4.36407410239577,4.29183721834709,4.2646517105738,3.8521925691343,4.19834159923362
SLC25A34,0.858155288105851,0.998094549340569,1.4511344027113,1.63319978352976,0.851239609618719,0.91009652191952,0.846972390175729,0.79438464696418,1.68690456164832,1.29097768498863
TMEM82,1.10359542718427,1.08311697083615,2.60743697396698,1.94210169943286,1.21942676436944,0.315041796769,1.27575580662162,1.56561372843341,2.71423675189167,0.968140281461104
FBLIM1,5.55673131898189,5.30170582991859,5.52168497468939,5.27926354331395,5.6563884559333,5.41741304174208,5.89394311300084,5.34680962424565,5.66835498169556,5.96279357005439
UQCRHL,5.18848939795701,3.90455562055982,4.26052097034382,4.34069806091483,2.68980509097526,3.85953750823658,5.73454563234517,5.57872270930108,3.59046082666543,2.35461479208744
SPEN,3.13069804227331,2.99654186205695,2.9730159357876,2.9079805587492,3.44213755288149,3.40330425671249,2.89390978350759,2.90004349332412,2.68728785351151,3.1759408116692
ZBTB17,3.92436377161219,4.03722378912147,3.73671461615232,3.69945843597894,4.17720029833763,4.04715630739884,3.7834132442887,3.76396120947545,4.07661808394752,4.43742341919051
FAM131C,0.433491702597666,0.0822308477114747,0.56637894108143,0.170589764058473,1.0803743869684,0.268727411898365,1.10609523161344,1.51784390979815,0,0
EPHA2,4.69862901707552,4.09827441847396,4.39942201048351,3.90923215460694,4.00829391673612,2.85528152700771,4.73272767282176,4.90494001768624,4.02749444665165,3.16958337868748
ARHGEF19,2.88087453258842,2.96186908372945,2.77014217041845,2.58181911649445,3.50135338325699,3.59992577826464,3.56636574840765,3.6805535652134,2.95181419833006,2.52001751059956
FBXO42,3.21428043247901,3.25631891602335,2.94695974224004,3.11378429941977,3.68639494362199,3.64448596269235,3.03584153638387,3.05388458687434,2.95220098564743,3.32731430906482
SZRD1,5.65052380804302,5.5790678880234,5.45172088396105,5.43309538722921,5.83780772966989,5.71872126912206,5.53686055451189,5.5620638988702,5.53194311366149,5.88046103259149
SPATA21,0.0474650339646708,0.0631962175408346,0.140072278046783,0.0675176731927102,0.422622082398092,0.0371027962554614,0.0642127483286974,0.197184532982684,0.0644343649794848,0.205549350433612
NECAP2,5.39988028518596,5.22280658719125,5.20701494989661,5.43553460627969,5.46865824016505,5.21873045069785,5.42368459214066,5.50683083119683,5.43820892511673,5.56476791961586
NBPF1,2.74984513657839,2.41157618755928,2.13782466766215,2.00193638981677,2.76064734155778,2.33262738066643,3.38843311189926,3.44075874888283,2.54519306729292,2.61859952078216
